 39.0252013 0 2 CARA 0
 48.73593555 0 3 CASINO 0
 52.67370488 0 15 INFINITY 0
 54.68077738 0 16 INNOVATOR 0
 55.63246042 0 17 MARKIES 0
 52.90993218 0 18 MAVERICK 0
 38.90254891 0 19 ORLA 0
 49.20185999 0 20 ROOSTER 0
 53.66290842 0 21 ROYAL 0
 34.45339094 0 665 T5673_11 0
 39.44093392 0 670 T5719_03 0
 55.13605598 0 728 VR808 0
 39.545 1 185 T15_179 2015
 64.69 2 262 T16_259 2016
 57.55 2 263 T16_262 2016
 61.36 2 264 T16_263 2016
 60.41 2 265 T16_264 2016
 45.24 2 266 T16_265 2016
 64.03 2 267 T16_268 2016
 52.47 2 268 T16_269 2016
 58.58 2 269 T16_270 2016
 61.33 2 270 T16_271 2016
 54.9 2 271 T16_272 2016
 59.77 2 272 T16_273 2016
 60.15 2 273 T16_275 2016
 51.9 2 274 T16_278 2016
 58.56 2 275 T16_280 2016
 56.96 2 276 T16_282 2016
 58.05 2 277 T16_283 2016
 64.78 2 278 T16_285 2016
 46.04 2 279 T16_288 2016
 51.6 2 281 T16_292 2016
 33.38 2 282 T16_293 2016
 58.14 2 283 T16_294 2016
 53.89 2 284 T16_297 2016
 39.81 2 285 T16_298 2016
 55.68 2 286 T16_299 2016
 64.44 2 287 T16_300 2016
 61.27 2 288 T16_308 2016
 56.94 2 290 T16_312 2016
 58.39 2 291 T16_313 2016
 49.14 2 292 T16_314 2016
 57.97 2 293 T16_315 2016
 62.25 2 294 T16_316 2016
 39.27 2 295 T16_324 2016
 52.33 2 296 T16_325 2016
 42.3 2 297 T16_331 2016
 63.47 2 298 T16_332 2016
 56.26 2 299 T16_338 2016
 65.61 2 300 T16_340 2016
 48.45 2 301 T16_341 2016
 64.77 2 302 T16_342 2016
 61.74 2 303 T16_343 2016
 50.35 2 304 T16_344 2016
 62.65 3 611 T17_692 2017
 25.2825 1 140 T15_133 2015
 48.8125 1 181 T15_175 2015
 53.39 1 99 T15_088 2015
 31.3425 1 96 T15_085 2015
 42.4525 1 92 T15_081 2015
 46.6 1 133 T15_125 2015
 34.555 1 189 T15_183 2015
 37.7925 1 93 T15_082 2015
 46.4625 1 95 T15_084 2015
 38.865 1 38 T15_021 2015
 56.42 1 32 T15_015 2015
 52.2625 1 118 T15_109 2015
 33.625 1 254 T15_251 2015
 35.8075 1 40 T15_023 2015
 53.69 1 136 T15_128 2015
 35.8775 1 202 T15_196 2015
 38.955 1 176 T15_170 2015
 41.72 1 103 T15_092 2015
 45.8375 1 114 T15_105 2015
 33.08 1 102 T15_091 2015
 40.2 1 94 T15_083 2015
 52.695 1 115 T15_106 2015
 45.835 1 195 T15_189 2015
 54.9825 1 258 T15_255 2015
 26.76 1 188 T15_182 2015
 52.2125 1 134 T15_126 2015
 38.9825 1 143 T15_136 2015
 52.31 1 36 T15_019 2015
 35.2675 1 100 T15_089 2015
 41.3125 1 34 T15_017 2015
 34.22 1 37 T15_020 2015
 48.2175 1 39 T15_022 2015
 33.115 1 139 T15_131 2015
 34.33 1 183 T15_177 2015
 26.3875 1 175 T15_169 2015
 58.73 1 158 T15_152 2015
 46.485 1 122 T15_113 2015
 58.08 1 172 T15_166 2015
 54.2525 1 26 T15_007 2015
 26.13 1 104 T15_093 2015
 38.455 1 98 T15_087 2015
 33.145 1 205 T15_199 2015
 31.8325 1 97 T15_086 2015
 61.6 1 251 T15_248 2015
 38.33 1 137 T15_129 2015
 54.3825 1 117 T15_108 2015
 41.0525 1 194 T15_188 2015
 51.5875 1 200 T15_194 2015
 47.92 1 197 T15_191 2015
 43.495 1 178 T15_172 2015
 53.2425 1 48 T15_034 2015
 43.3375 1 101 T15_090 2015
 43.79 1 123 T15_114 2015
 49.0675 1 248 T15_245 2015
 34.965 1 192 T15_186 2015
 50.7025 1 29 T15_012 2015
 53.3675 1 43 T15_027 2015
